https://datos.covid-19.conacyt.mx/,
,
edad,# de muertes (hombres)
"""0-4""",257
"""5-9""",0
"""10-14""",0
"""15-19""",195
"""20-24""",711
"""25-29""",1835
"""30-34""",3307
"""35-39""",5775
"""40-44""",8499
"""45-49""",13256
"""50-54""",16496
"""55-59""",20465
"""60-64""",23105
"""65-69""",23514
"""70-74""",21129
"""75-79""",16763
"""80-84""",11506
"""85-89""",6527
"""90-94""",2260
"""95-99""",563
,
,
edad,# de muertes (mujeres)
"""0-4""",215
"""5-9""",0
"""10-14""",0
"""15-19""",218
"""20-24""",489
"""25-29""",1112
"""30-34""",1728
"""35-39""",2678
"""40-44""",3971
"""45-49""",6750
"""50-54""",8870
"""55-59""",12571
"""60-64""",15034
"""65-69""",15466
"""70-74""",13786
"""75-79""",11295
"""80-84""",7840
"""85-89""",4477
"""90-94""",1838
"""95-99""",449
